PeakID (cmd=annotatePeaks.pl shared_777_mESC_peaks_EGFP_clone2_3_over_21_3163_mm10_vM25.bed mm10),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
326,chr11,21091301,21091616,+,0,NA,"5' UTR (NM_023324, exon 1 of 7)","5' UTR (NM_023324, exon 1 of 7)",134,NM_023324,67245,,NM_023324,ENSMUSG00000020134,Peli1,2810468L03Rik|A930031K15Rik|D11Ertd676e,pellino 1,protein-coding
1282,chr17,75551375,75551695,+,0,NA,"intron (NM_001357860, intron 1 of 6)",CpG,411,NM_001357860,72722,,NM_133747,ENSMUSG00000002017,Fam98a,2810405J04Rik,"family with sequence similarity 98, member A",protein-coding
2324,chr6,39117684,39119019,+,0,NA,promoter-TSS (NR_045813),promoter-TSS (NR_045813),-2,NM_172893,243771,,NM_172893,ENSMUSG00000038507,Parp12,9930021O16|ARTD12|PARP-12|Zc3hdc1,"poly (ADP-ribose) polymerase family, member 12",protein-coding
2494,chr7,27490854,27491197,+,0,NA,TTS (NM_018820),TTS (NM_018820),4072,NM_018820,55942,,NM_018820,ENSMUSG00000008384,Sertad1,1110032C13Rik|Sei-1|Sei1|TRIP-Br1,SERTA domain containing 1,protein-coding
2931,chr9,50775650,50775997,+,0,NA,"intron (NM_133981, intron 1 of 14)",CpG,598,NM_133981,102580,,NM_133981,ENSMUSG00000032059,Alg9,8230402H15Rik|B430313H07Rik|Dibd1,"ALG9 alpha-1,2-mannosyltransferase",protein-coding
1672,chr2,148395405,148395644,+,0,NA,"exon (NM_009219, exon 1 of 1)","exon (NM_009219, exon 1 of 1)",147,NM_009219,20608,,NM_009219,ENSMUSG00000037014,Sstr4,Smstr4|sst4,somatostatin receptor 4,protein-coding
438,chr11,82870411,82871049,+,0,NA,promoter-TSS (NM_001164570),promoter-TSS (NM_001164570),14,NM_001164570,67338,,NM_026097,ENSMUSG00000020696,Rffl,1700051E09Rik|4930516L10Rik|Carp2,ring finger and FYVE like domain containing protein,protein-coding
238,chr10,63429487,63430294,+,0,NA,promoter-TSS (NM_177612),promoter-TSS (NM_177612),-208,NM_177612,216033,,NM_177612,ENSMUSG00000060843,Ctnna3,4930429L08Rik|4933408A16|Catna3|Vr22,catenin alpha 3,protein-coding
2521,chr7,44351790,44353530,+,0,NA,"exon (NM_001034115, exon 24 of 25)","exon (NM_001034115, exon 24 of 25)",22370,NM_027049,69349,,NM_027049,ENSMUSG00000008028,1700008O03Rik,-,RIKEN cDNA 1700008O03 gene,protein-coding
1262,chr17,56507436,56507704,+,0,NA,Intergenic,Intergenic,4913,NM_011483,20834,,NM_011483,ENSMUSG00000044526,Znrf4,1700094M01Rik|Ssrzf1|spzn,zinc and ring finger 4,protein-coding
1902,chr3,152486033,152486763,+,0,NA,"non-coding (NR_165813, exon 1 of 1)","non-coding (NR_165813, exon 1 of 1)",3169,NR_165813,73187,,NR_165813,,3110067G11Rik,-,RIKEN cDNA 3110067G11 gene,ncRNA
739,chr13,48968420,48968717,+,0,NA,promoter-TSS (NM_001033268),promoter-TSS (NM_001033268),456,NR_015601,68128,,NR_015601,ENSMUSG00000120113,Fam120aos,C030044B11Rik,"family with sequence similarity 120A, opposite strand",ncRNA
